BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;8;0.15;1889;24;7;552;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;16;0.15;1889;24;22;2384;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;32;0.15;1889;24;63;9780;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;64;0.15;1889;24;311;40288;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;128;0.15;1889;24;2535;163220;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;256;0.15;1889;24;19714;655500;
OpenMP Loop;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;512;0.15;1889;24;157215;2628352;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;8;0.15;1889;24;20;552;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;16;0.15;1889;24;6;2384;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;32;0.15;1889;24;20;9780;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;64;0.15;1889;24;124;40288;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;128;0.15;1889;24;795;163220;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;256;0.15;1889;24;5776;655500;
Octree;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;512;0.15;1889;24;44122;2628352;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;8;0.15;1889;24;3;552;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;16;0.15;1889;24;11;2384;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;32;0.15;1889;24;45;9780;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;64;0.15;1889;24;217;40288;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;128;0.15;1889;24;1406;163220;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;256;0.15;1889;24;7692;655500;
Cached;/home/training/dd-20-28-97/proj2/scripts/../data/bun_zipper_res3.pts;;512;0.15;1889;24;60191;2628352;
